Gene FC_M1vsM0 p.value_M1vsM0 FC_M2vsM0 p.value_M2vsM0
Ptgs1 0.449 5.20E-03 11.022 5.11E-05
Egr2 0.077 2.30E-03 9.469 1.59E-04
Olfm1 0.372 1.06E-03 8.456 1.20E-02
Egr2 0.074 6.71E-05 8.356 1.16E-04
Flrt2 0.472 1.26E-02 7.294 1.02E-04
Flrt2 0.405 4.47E-03 6.928 6.05E-05
P2ry1 0.472 3.53E-03 4.519 4.06E-03
Vwf 0.222 8.02E-03 4.512 1.99E-04
Bcar3 0.358 5.61E-04 4.429 2.68E-03
Il6st 0.395 2.22E-05 4.352 8.66E-04
Il6st 0.293 4.05E-04 4.03 2.71E-03
Tanc2 0.436 2.55E-05 3.946 2.41E-05
Mmp12 0.234 4.22E-04 3.887 7.31E-05
TFEC 0.474 1.76E-04 3.794 1.19E-02
Clec7a 0.136 3.96E-05 3.398 1.54E-05
Matk 0.156 3.95E-07 3.386 4.21E-03
Myc 0.358 2.80E-03 3.254 4.87E-03
Clec10a 0.064 7.48E-03 3.092 2.91E-03
Matk 0.095 1.01E-03 3.066 4.57E-03
Amz1 0.397 5.34E-03 3.008 4.09E-04
Tmem158 0.368 4.16E-04 2.988 1.43E-02
Tanc2 0.385 1.61E-04 2.977 9.43E-03
Tiam1 0.196 8.39E-05 2.974 6.66E-05
Rhoj 0.208 6.56E-03 2.964 2.92E-02
Mmp9 0.235 4.98E-05 2.819 4.07E-03
Mrc1 0.015 1.76E-03 2.817 1.62E-03
Atp6v0a1 0.345 1.04E-02 2.815 3.36E-03
Atp6v0a1 0.318 6.87E-05 2.736 7.92E-04
Lmna 0.336 8.41E-05 2.736 1.44E-02
Chst7 0.36 1.66E-05 2.67 1.01E-02
Atp6v0d2 0.064 6.80E-03 2.601 9.36E-03
Gnb4 0.444 1.12E-03 2.576 1.66E-02
Atp6v0d2 0.057 1.20E-03 2.465 6.55E-03
Emp2 0.212 1.83E-04 2.459 2.31E-03
Cd300ld 0.202 9.37E-06 2.437 2.76E-04
Cd83 0.333 7.46E-04 2.381 1.32E-03
Socs6 0.367 7.54E-03 2.373 8.12E-03
Actn1 0.464 1.54E-04 2.366 2.20E-03
Socs6 0.407 9.16E-03 2.356 2.37E-03
Emp2 0.435 7.35E-03 2.355 1.65E-02
Socs6 0.428 3.42E-03 2.285 2.30E-03
Emp2 0.475 6.29E-03 2.26 2.82E-02
Atp6v0a1 0.361 2.22E-02 2.232 2.19E-02
Plk2 0.29 2.31E-04 2.151 3.28E-03
HACD1 0.323 4.97E-03 2.041 1.49E-02
